gen,chase,align,cohension,separate
1,137.8372811947592,184.74452065258083,178.17407885311016,163.31154532827074
2,325.0292943236281,410.8444966175321,185.42933190580405,110.67452412905922
3,359.6188704113173,427.2631462069789,196.48502824106166,114.60522488797184
4,368.7485779293634,434.2339243715229,199.63946228042988,130.88295796613525
5,337.270772878543,463.44992607690784,214.63864236342437,124.53388678730197
6,307.89408059449335,454.246481325775,179.44034029638053,135.23354688333598
7,304.9117947611116,464.490862685001,185.14663206272945,118.38814355352793
8,292.5788217296664,441.8881788962957,205.67438776966642,109.531322643054
9,303.8185201519886,410.34437947574105,217.05928397958883,109.31535376758971
10,299.36035329972276,402.5437137036438,213.08851768160383,90.67220971889701
11,302.76484105511133,402.780347113794,204.06019467050425,73.9006481450194
12,319.53955528503064,391.77173649645135,194.341003945766,69.43351404947593
13,337.7873059620983,359.4214899571349,200.00277422630575,69.14266004078226
14,345.3077639950033,359.09665969531335,198.33559782766525,58.79087320662884
15,343.4658385636155,363.31378233056125,164.8049257298188,51.361291346207274
16,341.95658474179277,361.18194609249923,172.27404899061352,62.32979303000937
17,342.89103284074207,370.19511152937673,165.58225423532076,76.6991978648698
18,342.9793422025611,376.3758223411665,161.70488474631983,82.98298337485544
19,358.09857960118313,373.805705530529,149.28236266909965,75.482442827031
20,346.4597483898969,383.8134879121146,146.75561801457332,81.067770901965
21,341.49008095216305,387.1409938084858,146.0128961408754,85.44210609533795
22,325.0445710591518,388.80555181965116,168.43040991352413,62.887353906917795
23,336.05016527584604,392.83163482008894,189.516051357429,55.97241607675598
24,334.71359837707286,398.65631108727655,185.92710845573666,47.100084427393014
25,366.05475349257284,409.9712187592663,187.50104419662637,37.76068283063811
26,368.7407400163107,387.80908844712275,192.05307359981532,49.9454800614371
27,362.19852677718166,367.0950390200563,189.9065421211405,53.01473498637687
28,386.971022280142,375.13887476008574,185.22637229367402,74.78230583720651
29,395.9823991809291,388.7039149822966,195.61365269898832,82.62310771712897
30,387.56666777541585,387.47752446425056,195.045074096974,83.47026647348797
31,394.3858936986834,378.8033312795327,204.85231549289568,87.88801161933911
32,414.5857896529525,359.032808028442,199.51792929909445,99.05312649027765
33,405.345264276268,388.2966619895825,187.22009747183745,64.03080007385705
34,404.7664715009277,393.92024460436437,191.22918108478174,74.2863618839737
35,388.32337610955153,346.549805695631,194.9264955679283,68.75796632018572
36,384.0052552429869,337.810452185967,186.90171152127172,64.47734874899385
37,394.84529647069644,331.97402447465817,194.07692054898246,76.74216327145595
38,422.7146656020229,334.68562094272295,211.3871717081222,86.46637074674996
39,432.08458313447153,343.2269388068982,222.36802192180343,98.39592162180512
40,441.2949490417103,341.69273683316504,229.7241018752695,95.66827130014514
41,457.03665680682855,338.16264958372943,209.6379195863632,107.44671047424796
42,424.62830553943286,306.59174255589113,228.5909419706979,82.14518264001964
43,410.63683411573703,278.83779280452774,224.80668965932435,83.11558647055146
44,436.33661678675776,306.0685298360357,228.34888446658,72.29848877787062
45,405.85910609635357,319.03953383269396,235.1373276591374,67.28295354148078
46,389.940158696106,337.5199907040026,231.64125217508206,47.40281659020638
47,388.61268331505767,341.4108462737256,228.79220404355627,48.579582625041674
48,384.11782761992066,341.6116192290906,216.58081441259316,46.86974198377153
49,391.13464525002365,327.59190431131657,224.16841893199657,59.44749715124599
50,387.73338807165453,340.4677930788612,201.11959806954633,67.62132387198102
51,404.0212750619638,332.5969754555544,196.90289295437114,67.15886363042095
52,386.4859836111925,328.08867154333325,189.96149666534,66.3173799137357
53,393.66125446420887,343.51114304645205,194.79254861591747,50.4342787382956
54,397.5173251436704,353.7920344731509,210.0886195524012,46.892295402013815
55,395.37227515210685,357.83400958528057,224.81469460011195,61.67728711672882
56,402.6467118014862,343.70941727734146,224.34419781654157,58.702516359570495
57,409.49102554161664,358.5593796257058,206.38006622524236,66.80780143052274
58,408.4958023035706,355.99423977312836,213.51403314029034,54.036385939186275
59,408.51750594793424,355.9450482862387,216.86951650778462,55.13962799345848
60,416.7932370539656,360.9458190670423,219.97037191643273,48.45254314996256
61,431.9929158347183,387.1005680646597,212.00329158241811,50.64422358785412
62,412.260847066431,379.4358401852177,214.8185131738885,52.20124657620373
63,418.91160792179784,387.475326252105,182.48935296710115,36.50362498030629
64,422.4351175845962,379.5243980452826,184.1103316995698,37.58261988789567
65,427.15954969212856,378.1795910191243,159.3996935813568,57.13649301168576
66,426.86498696690853,376.2526180615947,171.48728948652104,47.69679412974928
67,418.36097392527296,376.12618002675526,160.99468875642336,53.23727673581277
68,443.4959943467668,388.0311129408506,143.5700216206561,75.09853646664834
69,428.22443733713106,410.9293670413109,137.34722151191795,75.64171306118052
70,432.94202710757963,420.2437288529794,126.96329196824172,74.68785741615403
71,452.3844970126638,412.05485530947846,107.11956477195477,86.60470323000058
72,458.85320604622206,401.778832946106,134.7869364995671,76.69913465406121
73,445.52154147238934,406.63161117978393,143.93046527275442,60.22467018960337
74,435.98472138263713,409.9696822390535,133.23995901897572,81.55393895065114
75,427.3385240552545,413.94074476765786,135.88112838709242,75.93311781521501
76,426.1061983298742,419.1162235277061,130.94458916033614,95.1014915080076
77,432.92854677163166,423.00524542457987,155.90457510594808,118.16324401625289
78,460.40717907327974,414.7195818591361,187.12094716261996,128.72908368620276
79,465.7636755646416,399.0729356816761,194.245907967472,118.09893491491076
80,464.3539505148625,397.3607372905361,194.8766387106087,127.13900932559189
81,464.70936122601483,412.1776385824978,176.45778600592547,131.6265598514843
82,455.1149315800495,415.1403882559958,187.92811999707928,130.87461423042583
83,456.8258388660088,405.9713931279563,226.01303318109746,145.29021224659846
84,450.01308448137786,390.6465819351563,249.83161516406466,150.09853046153665
85,443.3382956106137,383.90771916516854,262.5037721652381,155.2817371645173
86,441.97549083822975,390.3445273239785,270.6069834680524,150.39670924375474
87,456.5924689097243,390.82000010950765,261.0771457366951,149.0086363942298
88,447.5725732705085,396.6725472545267,262.9866806912229,143.21034930903295
89,450.60157547476774,398.3362608652332,271.5255563779228,142.15091536622634
90,450.41822681648597,406.45109235798645,247.5192264593757,143.78625212239032
91,456.93146591319305,403.8860492895005,250.56960681492143,139.45450886387286
92,473.1614100059372,401.44544314788095,246.0325569012901,167.2217553749177
93,467.4109345166395,400.60290161477917,261.8706825067284,155.06503958444534
94,472.34197175084046,398.13540112655977,256.62783934163286,164.51166497484178
95,470.4053747881069,371.0184020403254,268.18693748033735,173.8880090943739
96,466.4999552930253,372.18223393406566,269.8052749292005,180.10863329092714
97,468.94938144309293,376.69857171147333,263.7238860118532,174.93716915256778
98,472.44583277084064,381.7010889452262,259.63369914115947,182.46026668389214
99,467.83461693404337,395.9791126846654,265.96781865286766,183.81132953590185
