gen,chase,align,cohension,separate
83,208.19872431624066,384.5852487916133,310.08931247462783,272.0359166492162
84,207.69238274045716,386.89595066713525,310.0553160801152,273.40737548955633
85,208.28249340525767,386.7265462485051,313.0005864281358,272.56480332199743
86,207.6068254400927,384.5943619588394,311.53132752520764,273.2683554854031
87,206.82298619766325,384.24288329295075,313.5109178094849,269.9451643001665
88,208.91273683593596,384.42658984535615,312.4352495680449,270.30736594753847
89,207.9492446266046,383.5998822632537,310.3494957003458,271.4308337650427
90,206.36204778284318,385.3996104051261,310.36595881579103,270.6387231426139
91,208.00841150763483,387.903630688214,312.1864425728056,271.33727213756043
92,211.60506429141338,388.1255304589566,312.19668319452364,270.37073622844724
93,209.6343531030454,386.8998935314073,311.63848276699736,271.38400628484953
94,211.79817423660614,386.604618521185,311.79123086980314,269.33435474565226
95,212.10051719834772,388.42555346417475,312.24937849452203,268.58598906282407
96,210.7565183549453,385.59748185659436,312.3536901783889,269.6036855895573
97,210.37914421513528,387.81383315595764,311.2015504914527,267.4529887676727
98,209.05631262296845,387.26873093804727,313.26832921552756,268.08077310308545
99,208.3540389057487,387.95841596499497,313.209972210084,268.0179743841281
